nvidia_site_id,sycl_site_id,match_tier,opcode,type_kind,bitwidth,operand_index
1,39,exact,call,int,32,-1
2,41,exact,call,int,32,-1
3,13,exact,mul,int,32,-1
4,119,exact,call,int,32,-1
5,16,exact,add,int,32,-1
6,1,exact,load,int,32,-1
7,2,exact,load,int,32,-1
8,18,exact,mul,int,32,-1
9,3,exact,load,int,32,-1
10,9,exact,load,int,32,-1
11,25,exact,add,int,32,-1
12,11,exact,load,int,32,-1
13,82,exact,mul,int,32,-1
14,6,exact,icmp,int,1,-1
15,12,exact,load,int,32,-1
16,10,exact,zext,int,64,-1
17,14,exact,load,int,32,-1
18,21,exact,urem,int,32,-1
19,22,exact,uitofp,float,64,-1
20,23,exact,call,float,64,-1
21,15,exact,load,int,32,-1
22,85,exact,add,int,32,-1
23,28,exact,load,float,64,-1
24,44,exact,load,float,64,-1
26,125,exact,call,int,32,-1
27,127,exact,call,int,32,-1
28,87,exact,mul,int,32,-1
29,129,exact,call,int,32,-1
30,97,exact,add,int,32,-1
31,17,exact,load,int,32,-1
32,20,exact,load,int,32,-1
33,110,exact,mul,int,32,-1
34,24,exact,load,int,32,-1
35,26,exact,load,int,32,-1
36,113,exact,add,int,32,-1
37,27,exact,load,int,32,-1
38,115,exact,mul,int,32,-1
39,19,exact,icmp,int,1,-1
40,30,exact,load,int,32,-1
41,90,exact,urem,int,32,-1
42,91,exact,uitofp,float,64,-1
43,31,exact,load,int,32,-1
44,93,exact,zext,int,64,-1
45,94,exact,load,float,64,-1
46,95,exact,fadd,float,64,-1
47,38,exact,load,int,32,-1
48,121,exact,add,int,32,-1
49,133,exact,call,int,32,-1
50,189,exact,call,int,32,-1
51,144,exact,mul,int,32,-1
52,191,exact,call,int,32,-1
53,147,exact,add,int,32,-1
54,40,exact,load,int,32,-1
55,42,exact,load,int,32,-1
56,149,exact,mul,int,32,-1
57,43,exact,load,int,32,-1
58,46,exact,load,int,32,-1
59,156,exact,add,int,32,-1
60,47,exact,load,int,32,-1
61,171,exact,mul,int,32,-1
62,77,exact,icmp,int,1,-1
63,51,exact,load,int,32,-1
64,107,exact,zext,int,64,-1
65,52,exact,load,int,32,-1
66,118,exact,urem,int,32,-1
67,33,no_bitwidth,call,int,32,-1
68,72,exact,load,int,32,-1
69,158,exact,add,int,32,-1
70,73,exact,load,int,32,-1
71,74,exact,load,int,32,-1
73,34,no_bitwidth,call,int,32,-1
74,53,no_bitwidth,call,int,32,-1
75,176,exact,mul,int,32,-1
76,54,no_bitwidth,call,int,32,-1
77,174,exact,add,int,32,-1
78,80,exact,load,int,32,-1
79,81,exact,load,int,32,-1
80,206,exact,mul,int,32,-1
81,83,exact,load,int,32,-1
82,84,exact,load,int,32,-1
83,183,exact,add,int,32,-1
84,86,exact,load,int,32,-1
85,211,exact,mul,int,32,-1
86,88,exact,icmp,int,1,-1
87,89,exact,load,int,32,-1
88,152,exact,urem,int,32,-1
89,92,exact,load,int,32,-1
90,154,exact,zext,int,64,-1
91,96,exact,load,int,32,-1
92,209,exact,add,int,32,-1
93,98,exact,load,int,32,-1
94,221,exact,add,int,32,-1
95,57,no_bitwidth,call,int,32,-1
96,58,no_bitwidth,call,int,32,-1
98,60,no_bitwidth,call,int,32,-1
100,99,exact,load,int,32,-1
101,100,exact,load,int,32,-1
103,106,exact,load,int,32,-1
104,108,exact,load,int,32,-1
106,109,exact,load,int,32,-1
108,103,exact,icmp,int,1,-1
109,111,exact,load,int,32,-1
110,168,exact,zext,int,64,-1
111,112,exact,load,int,32,-1
112,179,exact,urem,int,32,-1
113,180,exact,uitofp,float,32,-1
114,181,exact,call,float,32,-1
115,114,exact,load,int,32,-1
117,186,exact,load,float,32,-1
118,194,exact,load,float,32,-1
120,61,no_bitwidth,call,int,32,-1
121,63,no_bitwidth,call,int,32,-1
123,64,no_bitwidth,call,int,32,-1
125,117,exact,load,int,32,-1
126,120,exact,load,int,32,-1
128,122,exact,load,int,32,-1
129,123,exact,load,int,32,-1
131,124,exact,load,int,32,-1
133,116,exact,icmp,int,1,-1
134,126,exact,load,int,32,-1
135,214,exact,urem,int,32,-1
136,215,exact,uitofp,float,32,-1
137,128,exact,load,int,32,-1
138,217,exact,zext,int,64,-1
139,218,exact,load,float,32,-1
140,219,exact,fadd,float,32,-1
141,130,exact,load,int,32,-1
