site_id,opcode,type_kind,bitwidth,operand_index,function
1,load,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
2,load,int,64,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
3,load,int,64,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
4,icmp,int,1,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
5,load,int,64,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
6,trunc,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
7,load,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
8,load,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
9,icmp,int,1,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
10,load,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
11,zext,int,64,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
12,load,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
13,sext,int,64,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
14,load,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
15,load,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
16,add,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
17,load,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
18,add,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
19,load,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
20,load,int,32,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
21,zext,int,64,-1,_Z9AoSKernelPK9AppleTreePiiRN4sycl3_V17nd_itemILi1EEE
22,load,int,32,-1,_ZN4sycl3_V16detail5arrayILi1EEixEi
23,load,int,32,-1,_ZN4sycl3_V16detail5arrayILi1EEixEi
24,sext,int,64,-1,_ZN4sycl3_V16detail5arrayILi1EEixEi
25,call,int,64,-1,_ZN7__spirv29InitSizesSTGlobalInvocationIdILi1EN4sycl3_V12idILi1EEEE8initSizeEv
26,call,int,64,-1,_ZN7__spirv21getGlobalInvocationIdILi0EEEmv
27,load,int,64,-1,_ZN4sycl3_V12idILi1EEC2ILi1EEENSt9enable_ifIXeqT_Li1EEmE4typeE
28,extractelement,int,64,-1,_Z28__spirv_GlobalInvocationId_xv
29,load,int,64,-1,_ZN4sycl3_V16detail5arrayILi1EEC2ILi1EEENSt9enable_ifIXeqT_Li1EEmE4typeE
30,call,int,64,-1,_ZN7__spirv21InitSizesSTGlobalSizeILi1EN4sycl3_V15rangeILi1EEEE8initSizeEv
31,call,int,64,-1,_ZN7__spirv13getGlobalSizeILi0EEEmv
32,load,int,64,-1,_ZN4sycl3_V15rangeILi1EEC2ILi1EEENSt9enable_ifIXeqT_Li1EEmE4typeE
33,extractelement,int,64,-1,_Z20__spirv_GlobalSize_xv
34,call,int,64,-1,_ZN7__spirv24InitSizesSTWorkgroupSizeILi1EN4sycl3_V15rangeILi1EEEE8initSizeEv
35,call,int,64,-1,_ZN7__spirv16getWorkgroupSizeILi0EEEmv
36,extractelement,int,64,-1,_Z23__spirv_WorkgroupSize_xv
37,call,int,64,-1,_ZN7__spirv24InitSizesSTNumWorkgroupsILi1EN4sycl3_V15rangeILi1EEEE8initSizeEv
38,call,int,64,-1,_ZN7__spirv16getNumWorkgroupsILi0EEEmv
39,extractelement,int,64,-1,_Z23__spirv_NumWorkgroups_xv
40,call,int,64,-1,_ZN7__spirv22InitSizesSTWorkgroupIdILi1EN4sycl3_V12idILi1EEEE8initSizeEv
41,call,int,64,-1,_ZN7__spirv14getWorkgroupIdILi0EEEmv
42,extractelement,int,64,-1,_Z21__spirv_WorkgroupId_xv
43,call,int,64,-1,_ZN7__spirv28InitSizesSTLocalInvocationIdILi1EN4sycl3_V12idILi1EEEE8initSizeEv
44,call,int,64,-1,_ZN7__spirv20getLocalInvocationIdILi0EEEmv
45,extractelement,int,64,-1,_Z27__spirv_LocalInvocationId_xv
46,call,int,64,-1,_ZN7__spirv23InitSizesSTGlobalOffsetILi1EN4sycl3_V12idILi1EEEE8initSizeEv
47,call,int,64,-1,_ZN7__spirv15getGlobalOffsetILi0EEEmv
48,extractelement,int,64,-1,_Z22__spirv_GlobalOffset_xv
49,load,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
50,load,int,64,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
51,load,int,64,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
52,icmp,int,1,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
53,load,int,64,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
54,trunc,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
55,load,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
56,load,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
57,icmp,int,1,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
58,load,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
59,sext,int,64,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
60,load,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
61,zext,int,64,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
62,load,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
63,load,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
64,add,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
65,load,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
66,add,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
67,load,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
68,load,int,32,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
69,zext,int,64,-1,_Z9SoAKernelPK13ApplesOnTreesPiiRN4sycl3_V17nd_itemILi1EEE
